,Review Number,Reviewer Rating,Review,Result,Rating Result,Label
0,1,1,덕분에 크리스마스에 헤어질뻔 했네요^^,긍정,부정,1
1,2,2,영화가 끝나도 자리를 뜨지 못하시는 분이 계셨다. 주무시고 계셨다...,긍정,부정,1
2,3,1,내가 영화관에서 잤는데 꿈 내용이 더 재밌음,긍정,부정,1
3,4,2,역대급핵노잼 절대보지마요 돈아까워여 알바댓글때문이 낚여서 ㅤㅂㅘㅅ네여 흑흑내돈,부정,부정,0
4,5,4,등장인물 소개하다가 메모리즈 3번 부르고 끝,부정,부정,0
5,6,1,인생영화 입니다 진짜 후유증이 가시질않내요 이렇게 우와를 많이 해본적이 없어요 제가 연출해도 이거보단 잘할거 같아요장소가 딱 세군대 뿐입니다 지가 뮤직컬인줄 알아요 어이가 없네,부정,부정,0
6,7,1,정말 내인생에 최악의 영화~~5분만에 잠들었음~~,부정,부정,0
7,8,2,캣츠는 뮤지컬로만 보는걸로 합시다,긍정,부정,1
8,9,1,불쾌한 골짜기 현상 그 자체. 바퀴벌레 씬과 고양이들이 바퀴벌레를 먹는 씬은 충격과 공포 그 자체다. 꿈에 나올 것 같은 비주얼.,긍정,부정,1
9,10,1,한마디로 정리한다. 냥복동임 끝.,부정,부정,0
10,11,1,고양이를 싫어하게되는 마성의 영화,부정,부정,0
11,12,2,뮤지컬 너무 좋아하는데 처음으로 고개 떨구며 잤네요... 스토리없이 노래만 계속하는건 좀 무리아니였나 기대만 가득주고 아쉬움 남긴 영화.,긍정,부정,1
12,13,2,기괴하고 지루하다....,부정,부정,0
13,14,1,1시간반 동안 자기소개만 하는 영화...보지 마세요,부정,부정,0
14,15,1,"X] 해외평이 안 좋아 왜 그런가 했는데 이해가 되네 이런 개 쓰레기작을 만들다니,,,내 돈과 시간 돌려줘",부정,부정,0
15,16,1,알바생들 동원하지 말자 좀...,부정,부정,0
16,17,1,스포일러가 포함된 감상평입니다. 감상평 보기,긍정,부정,1
